ID,Name,Category,Cooldown,Description
8,Shot,Auto-attack,0,Delivers a ranged attack. Recast time varies with delay value of main hand weapon.
9,Fast Blade,Weaponskill,25,Delivers an attack with a potency of 160.
10,Rampart,Ability,900,Reduces damage taken by 10%.<br><Color(52258)>Duration:</Color> 20s
11,Savage Blade,Weaponskill,25,Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> Increased enmity<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Fast Blade</Color><br><Color(52258)>Combo Potency:</Color> 210
12,Convalescence,Ability,1200,Increases own HP recovery via healing magic by 20%.<br><Color(52258)>Duration:</Color> 20s
13,Awareness,Ability,1200,Nullifies chance of suffering critical damage.<br><Color(52258)>Duration:</Color> 15s
14,Flash,Spell,25,Increases enmity in all nearby enemies.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Blind</Color><br><Color(52258)>Duration:</Color> 12s
15,Riot Blade,Weaponskill,25,Delivers an attack with a potency of 100.<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Fast Blade</Color><br><Color(52258)>Combo Potency:</Color> 240<br><Color(52258)>Combo Bonus:</Color> Restores MP
16,Shield Bash,Weaponskill,25,Delivers an attack with a potency of 110.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Stun</Color><br><Color(52258)>Duration:</Color> 6s
17,Sentinel,Ability,1800,Reduces damage taken by 40%.<br><Color(52258)>Duration:</Color> 10s
18,Provoke,Ability,400,"Gesture threateningly, placing yourself at the top of a target's enmity list."
19,Tempered Will,Ability,1800,"Immediately cures <Color(-154)>Bind</Color> and <Color(-154)>Heavy</Color>, while preventing knockback and draw-in effects.<br><Color(52258)>Duration:</Color> 10s"
20,Fight or Flight,Ability,600,Increases physical damage dealt by 25%.<br><Color(52258)>Duration:</Color> 25s
21,Rage of Halone,Weaponskill,25,Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> Increased enmity<br><Color(52258)>Combo Action:</Color> <Color(-34022)>Savage Blade</Color><br><Color(52258)>Combo Potency:</Color> 270
22,Bulwark,Ability,1800,Increases block rate by 60%.<br><Color(52258)>Duration:</Color> 15s
23,Circle of Scorn,Ability,250,Delivers an attack with a potency of 100 to all nearby enemies.<br><Color(52258)>Additional Effect:</Color> Increased enmity<br><Color(52258)>Additional Effect:</Color> Damage over time<br><Color(52258)>Potency:</Color> 30<br><Color(52258)>Duration:</Color> 15s
24,Shield Lob,Weaponskill,25,Delivers a ranged attack with a potency of 120.<br><Color(52258)>Additional Effect:</Color> Increased enmity
25,Shield Swipe,Ability,150,Delivers an attack with a potency of 150.<br>Can only be executed immediately after blocking an attack.<br><Color(52258)>Additional Effect:</Color> <Color(-154)>Pacification</Color><br><Color(52258)>Duration:</Color> 6s<br><Color(52258)>Additional Effect:</Color> Increased enmity
26,Sword Oath,Spell,25,Deals additional damage with a potency of 75 after each auto-attack. Damage affected by weapon delay.<br>Cannot be used with <Color(-34022)>Shield Oath</Color>.<br>Effect ends upon reuse.
27,Cover,Ability,1200,"Take all damage intended for another party member<If(GreaterThanOrEqualTo(PlayerParameter(72),66))><If(Equal(PlayerParameter(68),19))>, suffering only 80% of it<Else/></If><Else/></If>.<br><Color(52258)>Duration:</Color> 12s<br>Can only be executed when member is closer than 10 yalms. Does not activate with certain attacks."
28,Shield Oath,Spell,25,"Reduces damage taken by 20%, while reducing damage dealt by 15% and increasing enmity.<br>Cannot be used with <Color(-34022)>Sword Oath</Color>.<br>Effect ends upon reuse."
29,Spirits Within,Ability,300,Delivers an attack with a potency of 300.<br>Potency decreases as own HP decreases.
30,Hallowed Ground,Ability,4200,Renders you impervious to most attacks.<br><Color(52258)>Duration:</Color> 10s
31,Heavy Swing,Weaponskill,25,Delivers an attack with a potency of 150.
32,Foresight,Ability,1200,Increases defense by 20%.<br><Color(52258)>Duration:</Color> 20s
33,Fracture,Weaponskill,25,"Delivers an attack with a potency of 100.<br><Color(52258)>Additional Effect:</Color> Damage over time<br><Color(52258)>Potency:</Color> 20<br><Color(52258)>Duration:</Color> <If(GreaterThanOrEqualTo(PlayerParameter(72),28))><If(Equal(PlayerParameter(68),3))>30<Else/><If(Equal(PlayerParameter(68),21))>30<Else/>18</If></If><Else/>18</If>s"
