key,Name,ClassJob,Level,Description
1,Enhanced Vitality,gladiator,20,Increases vitality by 8.
2,Enhanced Rampart,adventurer,0,Increases damage reduction granted by Rampart to 20%.
3,Enhanced Vitality II,gladiator,40,Increases vitality by 16.
4,Enhanced Awareness,adventurer,0,Extends Awareness duration to 25 seconds.
5,Enhanced Vitality III,gladiator,60,Increases vitality by 24.
6,Enhanced Flash,adventurer,0,"Adds Blind effect to Flash.<br>Duration: 12s"
7,Enhanced Convalescence,adventurer,0,Improves the HP recovery increase granted by Convalescence to 30%.
8,Enhanced Sentinel,adventurer,0,Increases damage reduction granted by Sentinel to 40%.
9,Enhanced Rage of Halone,adventurer,0,Increases strength reduction inflicted by Rage of Halone to 10%.
10,Enhanced Shield Bash,adventurer,0,Extends Stun duration inflicted by Shield Bash to 6 seconds.
11,Enhanced Fight or Flight,adventurer,0,Extends Fight or Flight duration to 30 seconds.
12,Enhanced Vitality,marauder,20,Increases vitality by 8.
13,Enhanced Vitality II,marauder,40,Increases vitality by 16.
14,Bloodshower,adventurer,0,Extends Bloodbath duration to 30 seconds.
15,Enhanced Foresight,adventurer,0,Shortens Foresight recast time to 90 seconds.
16,Enhanced Vitality III,marauder,60,Increases vitality by 24.
17,Enhanced Maim,adventurer,0,Extends Maim duration to 24 seconds.
18,Enhanced Berserk,adventurer,0,Extends Berserk duration to 20 seconds.
19,Enhanced Brutal Swing,adventurer,0,Extends Brutal Swing duration to 5 seconds.
20,Enhanced Mercy Stroke,adventurer,0,Shortens Mercy Stroke recast time to 40 seconds.
21,Enhanced Fracture,adventurer,0,Extends Fracture duration to 30 seconds.
22,Enhanced Thrill of Battle,adventurer,0,Improves the HP increase granted by Thrill of Battle to 20%.
23,Enhanced Strength,pugilist,20,Increases strength by 8.
24,Enhanced Strength II,pugilist,40,Increases strength by 16.
25,Enhanced Strength III,pugilist,60,Increases strength by 24.
26,Enhanced Greased Lightning,pugilist,20,Allows the stacking of a second Greased Lightning.
27,Enhanced Internal Release,adventurer,0,Improves the critical hit rate increase granted by Internal Release to 30%.
28,Enhanced Featherfoot,adventurer,0,Improves evasion increase granted by Featherfoot to 20%.
29,Third Wind,adventurer,0,Increases potency of Second Wind to 650.
30,Mythril Peak,adventurer,0,Shortens Steel Peak recast time to 40 seconds.
31,Enhanced Greased Lightning II,pugilist,40,Allows the stacking of a third Greased Lightning.
32,Enhanced Twin Snakes,adventurer,0,Improves the damage increase granted by Twin Snakes to 10%.
33,Enhanced Mantra,adventurer,0,Improves the HP recovery increase granted by Mantra to 20%.
34,Enhanced Strength,lancer,20,Increases strength by 8.
35,Keener Flurry,adventurer,0,Improves Keen Flurry parry rate increase to 80%.
36,Enhanced Feint,adventurer,0,Extends Slow duration inflicted by Feint to 20 seconds.
37,Enhanced Strength II,lancer,40,Increases strength by 16.
38,Enhanced Strength III,lancer,60,Increases strength by 24.
39,Exhilarate,adventurer,0,Increases the TP restored by Invigorate to 500.
40,Enhanced Leg Sweep,adventurer,0,Shortens Leg Sweep recast time to 20 seconds.
41,Enhanced Life Surge,adventurer,0,Shortens Life Surge recast time to 50 seconds.
42,Enhanced Blood for Blood,adventurer,0,Improves Blood for Blood damage increase to 30%. Lowers damage taken to 15%.
43,Heavier Thrust,adventurer,0,Extends Heavy Thrust duration to 24 seconds.
44,Exenterate,adventurer,0,Extends Disembowel duration to 30 seconds.
45,Enhanced Dexterity,archer,20,Increases dexterity by 8.
46,Enhanced Dexterity II,archer,40,Increases dexterity by 16.
47,Heavier Shot,archer,8,"Adds to Heavy Shot a 20% chance that your next Straight Shot will deal critical damage.<br>Duration: 10s"
48,Increased Action Damage,archer,20,Increases base action damage by 10%.
49,Enhanced Venomous Bite,adventurer,0,Extends Venomous Bite duration to 18 seconds.
50,Enhanced Raging Strikes,adventurer,0,Shortens Raging Strikes recast time to 120 seconds.
51,Enhanced Dexterity III,archer,60,Increases dexterity by 24.
52,Enhanced Quick Nock,adventurer,0,Extends Quick Nock range to 12 yalms.
53,Increased Action Damage II,archer,40,Increases base action damage by 20%.
54,Enhanced Barrage,adventurer,0,Increases number of weaponskill strikes to three.
55,River of Blood,adventurer,0,Grants a 50% chance that critical damage over time inflicted by Venomous Bite or Windbite will reset the Bloodletter or Rain of Death recast timer.
56,Enhanced Mind,conjurer,20,Increases mind by 8.
57,Enhanced Mind II,conjurer,40,Increases mind by 16.
58,Enhanced Medica,adventurer,0,Grants a 20% chance that Medica will cost half MP.
59,Maim and Mend,conjurer,20,Increases base action damage and HP restoration by 10%.
60,Enhanced Mind III,conjurer,60,Increases mind by 24.
61,Enhanced Raise,adventurer,0,Allows the casting of Raise while engaged in battle.
62,Freecure,conjurer,32,"Grants a 15% chance that after casting Cure, the MP cost for your next Cure II will be 0.<br>Duration: 15s"
63,Overcure,adventurer,0,"Grants a 15% chance that after casting Cure II, your next Cure III will cost half MP.<br>Duration: 15s"
64,Maim and Mend II,conjurer,40,Increases base action damage and HP restoration by 30%.
65,Quick Stoneskin,adventurer,0,Reduces Stoneskin cast time to 2.5 seconds.
66,Enhanced Shroud of Saints,adventurer,0,Increases Shroud of Saints refresh potency to 80.
67,Enhanced Intelligence,thaumaturge,20,Increases intelligence by 8.
68,Enhanced Intelligence II,thaumaturge,40,Increases intelligence by 16.
69,Enhanced Surecast,adventurer,0,"Grants a 15% chance that upon use, Surecast will have no recast time."
70,Magick and Mend,thaumaturge,20,Increases base action damage and HP restoration by 10% and allows for the stacking of a second Astral Fire or Umbral Ice.
71,Enhanced Scathe,adventurer,0,Grants a 20% chance that Scathe will deal double damage.
72,Deep Sleep,adventurer,0,Extends the area of effect for Sleep from a single target to a five-yalm radius.
73,Enhanced Intelligence III,thaumaturge,60,Increases intelligence by 24.
74,Enhanced Manaward,adventurer,0,Increases damage nullified by Manaward to 30% of your maximum HP.
75,Magick and Mend II,thaumaturge,40,Increases base action damage and HP restoration by 30% and allows for the stacking of a third Astral Fire or Umbral Ice which reduces cast times for spells of the opposite element by half.
76,Firestarter,thaumaturge,42,"Grants a 40% chance that after casting Fire, your next Fire III will require no MP and have no casting time.<br>Duration: 12s"
77,Thundercloud,thaumaturge,28,"Grants a 10% chance that after each damage over time tick inflicted by Thunder or Thunder III (3% for Thunder II or Thunder IV), the next Thunder, Thunder II, Thunder III, or Thunder IV will add its full damage over time amount to its initial damage, have no cast time, and cost no MP.<br>Duration: 12s"
78,Auto Triangulate,botanist,2,Automatically activates Triangulate upon changing your class to botanist.
80,Enhanced Stealth,botanist,18,Increases the range of enemies avoidable when using Stealth to level 30.
81,Enhanced Stealth II,botanist,28,Increases the range of enemies avoidable when using Stealth to level 40.
83,Enhanced Stealth III,botanist,38,Increases the range of enemies avoidable when using Stealth to level 50.
86,Auto Prospect,miner,2,Automatically activates Prospect upon changing your class to miner.
88,Enhanced Stealth,miner,18,Increases the range of enemies avoidable when using Stealth to level 30.
89,Enhanced Stealth II,miner,28,Increases the range of enemies avoidable when using Stealth to level 40.
91,Enhanced Stealth III,miner,38,Increases the range of enemies avoidable when using Stealth to level 50.
94,Tree Whisperer,botanist,11,"Allows you to better identify the characteristics of a mature tree or patch of lush vegetation, improving gathering rate when conditions are met."
95,Tree Whisperer II,botanist,16,"Allows you to better identify the characteristics of a mature tree or patch of lush vegetation, increasing gathering attempts when conditions are met."
96,Tree Whisperer III,botanist,21,"Allows you to better identify the characteristics of a mature tree or patch of lush vegetation, improving HQ gathering rate when conditions are met."
97,Tree Whisperer IV,botanist,26,"Allows you to better identify the characteristics of a mature tree or patch of lush vegetation, improving yield when conditions are met."
98,Ward of the Twelve,botanist,41,Extends gathering ward increases to crystals.
99,Ward of the Twelve II,botanist,50,Extends gathering ward increases to clusters.
100,Stone Whisperer,miner,11,"Allows you to better identify the characteristics of a mineral deposit or rocky outcrop, improving gathering rate when conditions are met."
101,Stone Whisperer II,miner,16,"Allows you to better identify the characteristics of a mineral deposit or rocky outcrop, increasing gathering attempts when conditions are met."
102,Stone Whisperer III,miner,21,"Allows you to better identify the characteristics of a mineral deposit or rocky outcrop, improving HQ gathering rate when conditions are met."
103,Stone Whisperer IV,miner,26,"Allows you to better identify the characteristics of a mineral deposit or rocky outcrop, improving yield when conditions are met."
104,Ward of the Twelve,miner,41,Extends gathering ward increases to crystals.
105,Ward of the Twelve II,miner,50,Extends gathering ward increases to clusters.
106,Dunefishing,fisher,35,Allows you to cast your fishing line into the desert sands.
107,Skyfishing,fisher,45,Allows you to cast your line into the clouds.
108,Enhanced Stealth,fisher,18,Increases the range of enemies avoidable when using Stealth to level 30.
109,Enhanced Stealth II,fisher,28,Increases the range of enemies avoidable when using Stealth to level 40.
110,Enhanced Stealth III,fisher,38,Increases the range of enemies avoidable when using Stealth to level 50.
111,Gulleye,fisher,15,Allows you to discern the location of fishing holes up to level 15.
112,Gulleye II,fisher,35,Allows you to discern the location of fishing holes up to level 35.
113,Gulleye III,fisher,50,Allows you to discern the location of fishing holes up to level 50.
114,Double Mooching,fisher,40,Allows you to mooch with a mooched fish.
115,Aetherdam,arcanist,6,Allows the stacking of one Aetherflow.
116,Enhanced Intelligence,arcanist,20,Increases intelligence by 8.
117,Enhanced Intelligence II,arcanist,40,Increases intelligence by 16.
118,Maim and Mend,arcanist,20,Increases base action damage and HP restoration by 10%. Also increases base damage and HP restoration of your pet by 10%.
119,Aetherdam II,arcanist,20,Allows the stacking of up to two Aetherflows.
